Designator,Mid X,Mid Y,Rotation,Layer
D0-10,79.7719,-88.7016,0.0,top
D0-11,103.5845,-107.7517,0.0,top
D0-12,84.5344,-107.7517,0.0,top
D0-13,77.3907,-126.8017,0.0,top
D0-8,84.5344,-50.6016,0.0,top
D0-9,75.0094,-69.6516,0.0,top
D1-10,98.822,-88.7016,0.0,top
D1-11,122.6345,-107.7517,0.0,top
D1-12,98.822,-126.8017,0.0,top
D1-7,103.5845,-50.6016,0.0,top
D1-9,94.0595,-69.6516,0.0,top
D2-10,117.872,-88.7016,0.0,top
D2-11,141.6845,-107.7517,0.0,top
D2-12,160.7345,-107.7517,0.0,top
D2-13,117.872,-126.8017,0.0,top
D2-7,122.6345,-50.6016,0.0,top
D2-8,113.1095,-69.6516,0.0,top
D3-11,179.7845,-107.7517,0.0,top
D3-12,136.922,-126.8017,0.0,top
D3-13,179.7845,-126.8017,0.0,top
D3-7,141.6845,-50.6016,0.0,top
D3-8,132.1595,-69.6516,0.0,top
D3-9,136.922,-88.7016,0.0,top
D4-10,175.022,-88.7016,0.0,top
D4-12,155.972,-126.8017,0.0,top
D4-7,160.7345,-50.6016,0.0,top
D4-8,151.2095,-69.6516,0.0,top
D4-9,155.972,-88.7016,0.0,top
D5-10,194.072,-88.7016,0.0,top
D5-11,198.8345,-107.7517,0.0,top
D5-13,198.8345,-126.8017,0.0,top
D5-7,179.7845,-50.6016,0.0,top
D5-8,170.2595,-69.6516,0.0,top
D5-9,189.3095,-69.6516,0.0,top
D6-10,215.5033,-79.1766,0.0,top
D6-11,217.8846,-107.7517,0.0,top
D6-12,217.8846,-126.8017,0.0,top
D6-8,198.8345,-50.6016,0.0,top
D6-9,217.8846,-50.6016,0.0,top
DI10,238.1252,-110.1329,90.0,top
DI11,232.1721,-117.872,90.0,top
DI12,238.1252,-125.611,90.0,top
DI13,232.1721,-133.3501,90.0,top
DI7,232.1721,-86.9157,90.0,top
DI8,238.1252,-94.6548,90.0,top
DI9,228.004879,-81.557881,90.0,top
DS10,207.7642,-88.1063,90.0,top
DS11,210.1455,-116.6813,90.0,top
DS12,210.1455,-135.7314,90.0,top
DS13,191.0955,-135.7314,90.0,top
DS7,172.0455,-59.5313,90.0,top
DS8,191.0955,-59.5313,90.0,top
DS9,210.1455,-59.5313,90.0,top
RC0-10,78.5813,-95.25,0.0,top
RC0-11,102.3938,-114.3,0.0,top
RC0-12,83.3438,-114.3,0.0,top
RC0-13,76.2,-133.35,0.0,top
RC0-8,83.3438,-57.15,0.0,top
RC0-9,73.8188,-76.2,0.0,top
RC1-10,97.6313,-95.25,0.0,top
RC1-11,121.4438,-114.3,0.0,top
RC1-12,97.6313,-133.35,0.0,top
RC1-7,102.3938,-57.15,0.0,top
RC1-9,92.8688,-76.2,0.0,top
RC2-10,116.6813,-95.25,0.0,top
RC2-11,140.4938,-114.3,0.0,top
RC2-12,159.5438,-114.3,0.0,top
RC2-13,116.6813,-133.35,0.0,top
RC2-7,121.4438,-57.15,0.0,top
RC2-8,111.9188,-76.2,0.0,top
RC3-11,178.5938,-114.3,0.0,top
RC3-12,135.7313,-133.35,0.0,top
RC3-13,178.5938,-133.35,0.0,top
RC3-7,140.4938,-57.15,0.0,top
RC3-8,130.9688,-76.2,0.0,top
RC3-9,135.7313,-95.25,0.0,top
RC4-10,173.8313,-95.25,0.0,top
RC4-12,154.7813,-133.35,0.0,top
RC4-7,159.5438,-57.15,0.0,top
RC4-8,150.0188,-76.2,0.0,top
RC4-9,154.7813,-95.25,0.0,top
RC5-10,192.8813,-95.25,0.0,top
RC5-11,197.6438,-114.3,0.0,top
RC5-13,197.6438,-133.35,0.0,top
RC5-7,178.5938,-57.15,0.0,top
RC5-8,169.0688,-76.2,0.0,top
RC5-9,188.1188,-76.2,0.0,top
RC6-10,214.3125,-85.725,0.0,top
RC6-11,216.6938,-114.3,0.0,top
RC6-12,216.6938,-133.35,0.0,top
RC6-8,197.6438,-57.15,0.0,top
RC6-9,216.6938,-57.15,0.0,top
U1,238.720513,-59.5312,0.0,top
